monster_id,hunted,captured,notes
seltas,18,0,
lagombi,3,1,orthographe confirmee par MH3U
great_jaggi,16,0,
velocidrome,7,0,
gendrome,3,1,
iodrome,3,0,
cephadrome,1,0,
kecha_wacha,11,0,
tetsucabra,7,0,
zamtrios,6,1,
najarala,2,0,
seltas_queen,2,0,traite comme monstre distinct et non comme variante de Seltas
nerscylla,9,1,
daimyo_hermitaur,1,1,
gore_magala,4,0,
shagaru_magala,1,0,"forme adulte de Gore Magala, traite comme monstre distinct"
rathian,12,0,
rathian_pink,0,0,
rathalos,6,1,
zinogre,3,0,
monoblos,1,1,
brachydios,1,1,
deviljho,0,0,
tigrex,4,0,
yian_kut_ku,4,0,
yian_kut_ku_blue,1,0,
yian_garuga,0,0,
gypceros,6,2,
gypceros_purple,0,0,
basarios,1,0,
basarios_ruby,0,0,
gravios,2,0,
khezu,3,1,
khezu_red,0,0,
congalala,4,0,
congalala_emerald,1,1,
kirin,1,0,
dahren_mohran,6,0,taille affichee ----.-- : monstre non mesurable
