monster_id,hunted,captured,notes
great_maccao,11,0,
velocidrome,3,0,
bulldrome,7,0,
arzuros,14,0,
arzuros_redhelm,1,0,
gendrome,4,0,
cephadrome,3,0,
yian_kut_ku,6,0,
iodrome,5,1,
lagombi,6,0,
gypceros,5,0,
tetsucabra,9,1,
daimyo_hermitaur,7,1,
volvidon,8,1,
royal_ludroth,10,0,
malfestio,9,2,
khezu,4,1,
rathian,6,0,
nibelsnarf,4,0,
blangonga,3,0,
shogun_ceanataur,5,1,
najarala,3,0,
nargacuga,7,1,
yian_garuga,3,0,
uragaan,4,0,
rathalos,4,0,
lagiacrus,4,0,
zinogre,2,1,
mizutsune,12,0,
astalos,7,0,
gammoth,6,1,
glavenus,7,1,
gore_magala,3,0,
seregios,3,0,
tigrex,3,0,
kirin,1,0,
brachydios,4,1,
kushala_daora,1,0,
chameleos,1,0,
